question,answer
What is the return policy?,"You can return products within 30 days of delivery."
Do I get a discount with an HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,"You can track your order using the tracking link sent to your email."
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,"Refunds are processed within 5–7 business days after the return is received."
Are there any ongoing sales or promotions?,"Yes, check our Deals section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,"You can cancel or modify your order within 1 hour of placing it."
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,"Contact our support team within 48 hours for a replacement or refund."
How do I use a promo code during checkout?,"Enter your promo code in the designated field during checkout."
Is there a minimum order value for free shipping?,"Free shipping is available on orders above Rs. 999."
How can I create an account?,"Click the Sign Up button and register using your email or mobile number."
I forgot my password. How can I reset it?,"Use the Forgot Password option on the login page to reset your password."
Can I change my delivery address after placing an order?,"You can change the address within 1 hour of placing the order from your account section."
Do you provide gift wrapping?,"Yes, gift wrapping is available at an additional charge during checkout."
Are the products covered under warranty?,"Yes, select products come with a manufacturer warranty as mentioned on the product page."
How can I contact customer support?,"You can contact support via chat, email, or the customer care number listed in the Help section."
Can I place an order without creating an account?,"Yes, you can use guest checkout to place an order without registration."
What happens if I am not available during delivery?,"The courier will attempt delivery again or contact you to reschedule."
Do you offer cash on delivery for all locations?,"Cash on delivery is available for most serviceable PIN codes."
Can I return a product bought on sale?,"Yes, sale items can be returned unless marked as non-returnable."
How will I know if my order is confirmed?,"You will receive an order confirmation via SMS and email after payment."
Are there any hidden charges?,"No, all applicable charges are shown at checkout before payment."
Can I exchange a product instead of returning it?,"Yes, exchanges are available for eligible products within the return period."
How do I download my invoice?,"Go to My Orders, select the order, and click Download Invoice."
What should I do if my payment fails?,"If payment fails, the amount will be refunded automatically within a few days."
Can I schedule delivery for a specific date?,"Yes, scheduled delivery is available for select locations and products."
Do you offer bulk purchase discounts?,"Yes, contact our sales team for bulk order pricing."
How can I unsubscribe from promotional emails?,"Click the unsubscribe link at the bottom of any promotional email."
Are product colors exactly as shown in images?,"We try to display accurate colors, but slight variations may occur due to lighting and screen settings."
Can I save items for later?,"Yes, you can add items to your wishlist to purchase later."
Is my personal information secure?,"Yes, we use encryption and secure servers to protect your data."
How do I update my profile details?,"Go to My Account settings to edit your personal information."
Can I add multiple addresses to my account?,"Yes, you can save multiple delivery addresses in your account."
Do you send order updates via SMS?,"Yes, you will receive SMS updates for order status and delivery."
What if my package is lost in transit?,"If your package is lost, we will issue a full refund or replacement."
Are all products authentic?,"Yes, we guarantee 100% authentic and genuine products."
Can I request faster shipping?,"Yes, express delivery options are available for select products."
How do I apply store credit?,"Store credit is automatically applied at checkout if available."
Do prices include taxes?,"Yes, all prices shown include applicable taxes unless stated otherwise."
Can I reorder a previous purchase?,"Yes, you can reorder items from your order history."
Why was my order canceled?,"Orders may be canceled due to payment issues or stock unavailability."
Can I review products after purchase?,"Yes, you can rate and review products from your Orders page."
Are there loyalty rewards?,"Yes, you earn reward points on eligible purchases."
How do I redeem reward points?,"You can redeem points during checkout on eligible orders."
Do you notify when items are back in stock?,"Yes, you can enable back-in-stock notifications on product pages."
Can I change the quantity after ordering?,"You can modify the quantity within 1 hour of placing the order."
Do you sell refurbished products?,"Yes, refurbished items are clearly labeled on the product page."
Are there student discounts?,"Yes, verified students can access special discounts."
Can I chat with customer support?,"Yes, live chat support is available in the Help section."
Do you offer installation services?,"Yes, installation is available for select products at checkout."
What if I receive the wrong item?,"Contact support within 48 hours for a replacement."
Can I combine multiple promo codes?,"No, only one promo code can be applied per order."
Do you offer seasonal sales?,"Yes, we run seasonal and festive sales throughout the year."
Is there a mobile app available?,"Yes, our app is available on Android and iOS."
Can I track orders without logging in?,"Yes, use the tracking link sent to your email or SMS."
What is the return pickup process?,"Our courier partner will pick up the item from your address."
Do I need the original packaging for returns?,"Yes, items should be returned in the original packaging if possible."
How long does delivery take?,"Standard delivery takes 3–7 business days depending on location."
Do you deliver on weekends?,"Yes, weekend delivery is available in select areas."
Can I tip the delivery partner?,"Yes, you can tip during or after delivery in supported regions."
What if my address is not serviceable?,"You will be notified at checkout if delivery is unavailable."
Can I buy gift cards?,"Yes, digital gift cards are available in various denominations."
Do gift cards expire?,"Yes, gift cards typically expire 12 months after purchase."
Can I return part of a bundled order?,"Yes, eligible items in bundles can be returned individually."
Are there eco-friendly packaging options?,"Yes, we offer sustainable packaging for select orders."
Can I request an invoice with GST details?,"Yes, GST invoices can be downloaded from your order page."
What if delivery is delayed?,"You will be notified and can request cancellation if needed."
Do you offer subscription purchases?,"Yes, some products are available via subscription plans."
Can I pause or cancel subscriptions?,"Yes, you can manage subscriptions in your account settings."
Do you price match competitors?,"Yes, price matching is available for identical products."
Can I pre-order upcoming products?,"Yes, pre-orders are available for select launches."
Will I be charged immediately for pre-orders?,"Charges apply according to the product pre-order policy."
Can I change the language in the app?,"Yes, language settings are available in preferences."
Do you offer customer support in multiple languages?,"Yes, multilingual support is available."
Can I report a seller or product?,"Yes, use the report option on the product page."
How do I delete my account?,"Contact support to permanently delete your account."
Are my payment details stored?,"Payment details are stored securely only with your consent."
Can I pay using wallet balance?,"Yes, wallet balance can be used at checkout."
What is wallet cashback?,"Cashback is credited to your wallet for future purchases."
How do I add money to my wallet?,"Add funds via UPI, cards, or net banking."
Can wallet balance be withdrawn?,"Wallet balance is non-transferable and non-withdrawable."
Do you offer corporate gifting?,"Yes, contact sales for bulk and corporate gifting."
Can I get notified of price drops?,"Yes, enable price alerts on product pages."
